Date,King,Pierce,Snohomish,Yakima,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays_Harbor,Island,Jefferson,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend_Oreille,San_Juan,Skagit,Skamania,Spokane,Stevens,Thurston,Wahkiakum,Walla_Walla,Whatcom,Whitman,Unassigned,New,Roll_avg
2/28,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
2/29,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
3/1,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
3/2,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
3/3,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
3/4,31,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
3/5,51,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,
3/6,58,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
3/7,71,1,27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,
3/8,83,4,31,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,35,
3/9,116,4,37,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,
3/10,190,16,54,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,105,
3/11,234,17,68,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,36,99,
3/12,270,17,108,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,2,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,46,91,33
3/13,328,19,133,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,3,1,3,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,67,111,40
3/14,388,26,154,4,0,0,0,0,0,3,1,0,0,0,0,0,2,1,7,1,3,3,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,2,0,39,76,46
3/15,420,29,176,4,0,0,0,0,0,3,1,0,0,0,0,0,2,1,6,3,3,3,0,0,1,0,0,0,0,0,4,0,3,0,3,0,0,3,0,104,125,54
3/16,488,38,200,4,0,0,0,0,0,4,1,0,0,0,0,0,3,1,7,3,7,3,0,1,1,0,0,0,0,0,7,0,3,0,4,0,0,3,0,126,135,63
3/17,518,45,254,5,0,0,0,2,0,4,1,0,0,0,0,0,7,1,14,3,7,3,1,1,1,0,0,0,0,0,9,0,4,0,5,0,0,6,0,70,57,67
3/18,562,56,310,7,0,0,0,2,0,4,1,0,0,0,1,0,8,1,16,4,9,4,1,1,1,1,0,0,0,0,14,0,4,0,6,0,0,7,0,167,226,82
3/19,693,75,348,7,0,0,1,2,1,4,1,0,0,0,2,0,8,1,17,4,12,4,2,1,1,1,0,0,0,0,18,0,9,0,6,0,0,7,0,151,189,93
3/20,793,83,385,10,0,0,2,2,1,6,1,1,0,0,2,0,8,1,19,4,12,4,2,1,1,1,0,0,0,0,25,0,11,0,6,0,0,10,0,133,148,103
3/21,934,95,447,13,0,0,7,3,2,9,1,2,0,0,2,0,11,1,19,4,15,4,4,2,1,1,0,0,0,1,28,0,16,1,9,0,0,14,0,147,269,121
3/22,1040,107,480,16,0,0,7,3,4,10,1,3,0,0,3,0,18,1,21,6,18,4,4,2,1,1,0,0,0,1,33,0,20,1,11,0,1,14,0,165,203,133
3/23,1170,126,519,25,1,0,7,6,4,13,1,3,1,0,3,0,23,1,25,7,18,5,4,2,1,1,0,0,0,1,45,0,29,1,11,0,1,48,2,117,225,147
3/24,1277,138,614,44,1,0,12,6,4,16,1,3,2,0,7,0,27,1,29,8,20,18,6,2,1,2,0,0,0,1,48,0,33,1,14,0,2,64,2,65,248,157
3/25,1359,155,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,111,158
