Date,King,Pierce,Snohomish,Yakima,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays_Harbor,Island,Jefferson,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend_Oreille,San_Juan,Skagit,Skamania,Spokane,Stevens,Thurston,Wahkiakum,Walla_Walla,Whatcom,Whitman,Unassigned,New,Roll_avg
6/30,612,104,171,159,0,2,82,6,0,30,0,0,3,0,33,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,41,1,7,0,3,40,0,0,7,8
7/1,615,104,171,159,0,2,82,6,0,30,0,0,3,0,33,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,41,1,7,0,3,40,0,0,3,7
7/2,618,105,173,160,0,2,84,6,0,30,0,0,3,0,33,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,41,1,7,0,3,41,0,0,10,7
7/3,619,105,173,160,0,2,85,6,0,30,0,0,3,0,33,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,41,1,7,0,3,41,0,0,2,6
7/4,620,107,175,160,0,2,85,6,0,30,0,0,3,0,33,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,41,1,7,0,3,41,0,0,5,6
7/5,622,108,176,165,0,2,85,6,0,30,0,0,3,0,33,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,15,0,41,1,8,0,3,41,0,1,11,7
7/6,626,110,176,168,0,2,88,6,0,30,0,0,3,0,34,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,16,0,42,1,8,0,3,41,0,0,14,7
7/7,628,111,178,174,0,2,88,6,0,30,0,0,3,0,34,0,6,0,12,0,2,0,3,3,0,1,2,1,0,0,16,0,42,1,8,0,3,40,0,0,10,7
7/8,632,111,178,178,0,2,90,6,0,31,0,0,3,0,35,0,8,0,12,0,2,0,3,3,0,1,2,1,0,0,16,0,43,1,8,0,3,40,0,0,15,8
7/9,633,111,179,185,0,2,92,7,0,32,0,0,3,0,36,0,8,0,12,0,2,0,3,3,0,1,2,1,0,0,16,0,43,1,8,0,3,41,0,0,15,9
7/10,633,111,179,185,0,2,92,7,0,32,0,0,3,0,36,0,8,0,12,0,2,0,3,3,0,1,2,1,0,0,16,0,43,1,8,0,3,41,0,0,0,9
7/11,637,113,179,190,0,2,94,7,0,32,0,0,3,0,36,0,8,0,12,0,2,0,3,3,0,1,2,1,0,0,16,0,43,1,8,0,3,41,0,1,14,9
7/12,624,110,176,180,0,2,92,7,0,33,0,0,3,0,38,0,8,0,11,0,2,0,3,3,0,1,2,1,0,0,16,0,41,1,5,0,3,36,0,1,-39,6
7/13,624,108,177,183,0,2,93,7,0,33,0,0,3,0,39,0,8,0,11,0,2,0,3,3,0,1,2,1,0,0,17,0,41,1,5,0,3,36,0,1,5,5
7/14,630,108,179,187,0,2,96,7,0,29,0,1,3,0,42,0,8,1,11,0,2,0,3,3,0,1,2,1,0,0,17,0,42,1,5,0,3,36,0,1,17,6
7/15,631,108,179,190,0,2,97,7,0,30,0,1,3,0,42,0,8,1,11,0,2,0,3,3,0,1,2,1,0,0,17,0,43,1,5,0,3,36,0,0,6,6
7/16,631,110,181,191,0,2,98,6,0,30,0,1,4,0,41,0,8,1,11,0,2,0,3,3,0,1,2,1,0,0,16,0,44,1,5,0,3,37,0,1,7,6
7/17,637,110,182,193,0,2,98,6,0,30,0,2,4,0,42,0,8,1,11,0,2,0,3,3,0,1,2,1,0,0,16,0,44,1,5,0,3,37,0,0,10,6
7/18,635,113,181,195,0,2,99,6,0,30,0,2,4,0,42,0,8,1,11,0,2,0,3,3,0,1,2,1,0,0,16,0,44,1,5,0,3,37,0,0,3,6
7/19,636,114,182,195,0,2,100,6,0,30,0,2,4,0,42,0,8,1,11,0,3,0,3,3,0,1,2,1,0,0,17,0,44,1,5,0,3,37,0,0,6,6
7/20,638,115,181,194,0,2,103,6,0,32,0,2,4,0,43,0,8,2,11,0,3,2,3,3,0,1,2,1,0,0,17,1,44,1,5,0,3,37,0,1,12,6
7/21,638,115,181,194,0,2,102,6,0,32,0,2,4,0,44,0,8,2,11,0,3,4,3,3,0,1,2,1,0,0,17,1,45,1,5,0,3,37,0,1,3,5
7/22,638,117,182,194,0,2,103,8,0,33,0,3,4,0,44,0,8,2,11,0,3,6,3,3,0,1,2,1,0,0,18,1,47,1,5,0,4,37,0,1,14,5
